T_min,date,T_max,H_min,H_max,extrap
288.8566666666666,2020-09-05,296.69500000000005,51.46551724137931,85.79310344827586,0.0
287.59166666666664,2020-09-06,295.07166666666666,52.03448275862069,86.91379310344826,0.0
286.3533333333333,2020-09-07,295.9216666666668,48.57627118644068,86.96610169491525,0.0
287.5200000000001,2020-09-08,297.9133333333333,49.067796610169495,83.9322033898305,0.0
288.8900000000001,2020-09-09,298.40166666666664,52.54237288135593,86.49152542372879,0.0
289.785,2020-09-10,297.90833333333325,55.8135593220339,88.42372881355931,0.0
288.89166666666665,2020-09-11,298.2033333333333,50.067796610169495,88.94915254237291,0.0
287.89333333333343,2020-09-12,298.625,46.62711864406779,87.32203389830508,0.0
287.94666666666666,2020-09-13,300.2633333333334,44.76271186440679,86.59322033898304,0.0
289.4849999999998,2020-09-14,302.2366666666666,42.20338983050848,82.0677966101695,0.0
290.62833333333333,2020-09-15,300.70333333333343,46.40677966101695,82.9322033898305,0.0
290.06000000000006,2020-09-16,300.23833333333334,48.864406779661024,85.0677966101695,0.0
290.00084745762723,2020-09-17,299.4771186440678,46.08620689655172,83.9655172413793,0.0
289.56333333333345,2020-09-18,298.9916666666667,50.4406779661017,81.9491525423729,0.0
290.30833333333334,2020-09-19,297.775,56.10169491525424,87.71186440677967,0.0
289.85166666666663,2020-09-20,297.0866666666668,58.8135593220339,90.28813559322028,0.0
288.79666666666674,2020-09-21,297.03,56.288135593220346,90.33898305084746,0.0
288.57666666666665,2020-09-22,295.93666666666667,60.67241379310346,91.56896551724138,0.0
288.4633333333333,2020-09-23,296.31,57.41379310344828,91.65517241379312,0.0
287.70833333333326,2020-09-24,293.80833333333334,63.55172413793103,90.75862068965515,0.0
285.6059322033899,2020-09-25,290.53135593220344,59.17543859649122,87.17543859649125,0.0
284.5906779661016,2020-09-26,290.1771186440678,57.07017543859649,86.29824561403505,0.0
284.5200000000001,2020-09-27,289.81000000000006,65.5,88.82758620689656,0.0
285.9216666666668,2020-09-28,291.87166666666667,62.86206896551725,90.08620689655173,0.0
286.3966666666667,2020-09-29,293.0150000000001,65.76271186440678,92.03389830508476,0.0
286.53333333333325,2020-09-30,294.39666666666665,60.745762711864394,93.13559322033899,0.0
286.24000000000007,2020-10-01,292.1499999999998,65.84745762711864,92.1864406779661,0.0
285.6166666666667,2020-10-02,290.8666666666666,73.6949152542373,93.96610169491524,0.0
285.26186440677964,2020-10-03,290.7601694915254,67.25862068965517,92.63793103448276,0.0
285.5754237288135,2020-10-04,290.90762711864414,65.1896551724138,89.82758620689656,0.0
285.87833333333333,2020-10-05,290.99,67.77966101694915,91.1864406779661,0.0
286.89166666666665,2020-10-06,292.20166666666665,67.50847457627118,89.98305084745762,0.0
286.8872881355933,2020-10-07,292.3330508474576,62.5,90.65517241379312,0.0
286.9316666666666,2020-10-08,294.06666666666666,63.779661016949156,92.35593220338984,0.0
286.23333333333335,2020-10-09,292.6900000000001,66.76271186440678,93.1864406779661,0.0
284.7161016949152,2020-10-10,291.24491525423736,60.24137931034482,91.53448275862068,0.0
284.345,2020-10-11,290.05833333333334,63.847457627118644,89.38983050847456,0.0
283.4116666666667,2020-10-12,290.005,61.69491525423729,90.22033898305084,0.0
283.7283333333333,2020-10-13,289.74,66.16949152542372,91.13559322033899,0.0
283.375,2020-10-14,289.565,64.71186440677967,93.27118644067795,0.0
283.82666666666665,2020-10-15,288.7266666666667,65.20338983050847,88.83050847457628,0.0
283.4633333333333,2020-10-16,289.2266666666667,64.83050847457628,88.96610169491525,0.0
283.22,2020-10-17,289.98666666666674,60.89830508474577,90.01694915254238,0.0
282.5720338983051,2020-10-18,290.95677966101687,56.55172413793103,90.36206896551724,0.0
283.08333333333326,2020-10-19,291.9766666666667,57.067796610169495,89.98305084745762,0.0
286.4550000000001,2020-10-20,292.68666666666667,65.16949152542372,87.32203389830508,0.0
287.80689655172415,2020-10-21,294.398275862069,59.24561403508772,86.56140350877193,0.0
288.0683333333333,2020-10-22,293.94666666666666,66.2542372881356,90.33898305084746,0.0
287.03644067796614,2020-10-23,292.078813559322,70.01724137931035,92.89655172413794,0.0
286.1042372881355,2020-10-24,292.19576271186435,66.32758620689657,91.13793103448276,0.0
284.9720338983052,2020-10-25,291.23135593220337,65.65517241379311,90.32758620689656,0.0
