date,T_min,T_max,H_min,H_max,pos,age_pos,test,age_test,day_num,nb_cases
2020-04-21,286.86694915254236,292.2889830508474,63.949152542372886,84.96610169491525,692,63.315751445086704,11537,57.517898933864956,2,135788
2020-04-22,286.6749999999999,293.10333333333335,60.68333333333333,84.4,598,63.72157190635451,11020,58.33970054446461,3,136386
2020-04-23,286.1816666666666,294.6983333333334,56.03333333333333,88.81666666666666,585,63.0025641025641,9856,58.25791396103896,4,136971
2020-04-24,285.9766666666667,295.05,55.76666666666666,88.91666666666669,471,59.71231422505308,9067,57.263482960185286,5,137442
2020-04-25,286.1466101694916,294.1635593220338,57.0,89.74576271186442,66,55.86363636363637,1396,56.21131805157593,6,137508
2020-04-26,285.63813559322034,293.6838983050848,56.83050847457627,90.2881355932203,13,68.8076923076923,306,66.86437908496733,0,137521
2020-04-27,285.743220338983,293.0669491525424,63.932203389830505,91.59322033898304,291,55.75773195876289,7407,55.87930336168489,1,137812
2020-04-28,286.55,291.6066666666666,64.01666666666667,91.55,336,60.111607142857146,8093,57.033362164833804,2,138148
2020-04-29,285.37542372881353,291.6008474576272,59.45762711864407,89.6271186440678,362,63.91160220994475,9830,58.87889114954222,3,138510
2020-04-30,285.6025423728813,290.8093220338984,62.53448275862069,89.93103448275862,265,57.343396226415095,8771,56.776878349105004,4,138775
2020-05-01,285.5059322033899,291.3838983050848,65.13793103448276,89.13793103448276,4,56.5,232,57.18103448275862,5,138779
2020-05-02,286.3635593220339,292.2059322033898,65.03389830508475,88.4915254237288,49,50.97959183673469,1365,52.6970695970696,6,138828
2020-05-03,286.4466101694915,293.714406779661,64.72413793103448,92.63793103448276,11,62.68181818181818,197,64.44923857868021,0,138839
2020-05-04,286.96525423728815,295.2533898305084,60.10344827586207,92.72413793103449,299,59.04013377926422,10016,56.23966653354633,1,139138
2020-05-05,287.88166666666666,293.5283333333333,61.288135593220346,87.76271186440678,278,64.2931654676259,10729,55.00489327989561,2,139416
2020-05-06,286.543220338983,294.52796610169486,54.32758620689656,87.17241379310344,206,56.262135922330096,9376,55.49616040955632,3,139622
2020-05-07,285.85,295.82627118644075,49.31034482758621,85.27586206896551,166,63.66867469879518,8578,53.525005828864536,4,139788
2020-05-08,287.0516949152543,296.0296610169492,53.56896551724138,86.32758620689656,15,65.36666666666666,448,59.638392857142854,5,139803
2020-05-09,288.01949152542375,295.3059322033899,60.44827586206897,87.44827586206898,29,45.43103448275862,1513,52.868803701255786,6,139832
2020-05-10,288.0586206896552,293.5327586206897,68.2280701754386,92.64912280701756,17,61.6764705882353,293,60.73890784982935,0,139849
2020-05-11,284.51779661016946,290.51271186440675,67.3103448275862,90.39655172413794,210,63.357142857142854,10339,53.02089176902989,1,140059
2020-05-12,283.86999999999995,289.81166666666667,61.932203389830505,86.32203389830508,168,63.345238095238095,10567,51.926705782151984,2,140227
